Lines,Lon,VehicleNumber,Time,Lat,Brigade
331,20.9953467,1990,2024-01-25 13:14:36,52.1862661,063
331,20.995344,1992,2024-01-25 13:14:32,52.186428,06
331,20.995298,1994,2024-01-25 13:14:33,52.186192,01
331,20.995268,1996,2024-01-25 13:14:36,52.1863799,05
522,20.9972864,2000,2024-01-25 10:08:59,52.1869227,011
148,21.0974764,2001,2024-01-25 13:14:36,52.2343147,7
189,20.957766,2002,2024-01-25 13:14:32,52.190113,12
189,20.914883,2004,2024-01-25 13:14:35,52.229099,1
166,21.0022537,2005,2024-01-25 13:14:34,52.1769907,011
143,21.078751,2006,2024-01-25 13:14:33,52.236023,4
189,21.0197984,2007,2024-01-25 13:14:34,52.1734031,5
189,20.997334,2008,2024-01-25 12:40:14,52.187664,025
172,20.979307,2009,2024-01-25 13:14:36,52.201862,8
709,21.024515,2010,2024-01-25 13:14:36,52.179977,8
189,21.058418,2012,2024-01-25 13:14:36,52.1833157,9
189,20.996609,2013,2024-01-25 13:07:26,52.1859717,027
136,21.044335,2014,2024-01-25 13:14:21,52.149129,013
189,21.0688397,2016,2024-01-25 13:14:36,52.1814967,8
709,21.017658,2017,2024-01-25 13:14:35,52.066998,5
L50,21.2346035,20172,2024-01-25 13:14:35,52.13653,1
L50,21.372864,20174,2024-01-25 13:14:37,52.1753065,2
189,20.896868,2019,2024-01-25 13:14:32,52.230289,14
514,21.049831,2020,2024-01-25 13:14:36,52.225468,4
172,21.052317,2021,2024-01-25 13:14:33,52.179447,1
189,20.997293,2022,2024-01-25 13:14:34,52.187748,021
136,20.997101,2023,2024-01-25 13:14:36,52.185932,014
402,21.1216481,2024,2024-01-25 13:14:36,52.2326352,1
504,21.0686075,2025,2024-01-25 13:14:35,52.1291037,3
710,21.0765425,2026,2024-01-25 13:14:36,52.077965,1
172,21.017332,2027,2024-01-25 13:14:33,52.196491,9
504,21.0038721,2028,2024-01-25 13:14:33,52.2293352,7
174,21.004927,2029,2024-01-25 13:14:34,52.171463,6
308,20.9980192,2031,2024-01-25 09:21:02,52.1859245,02
504,21.068601,2032,2024-01-25 13:14:30,52.129043,2
193,20.9971064,2033,2024-01-25 09:41:44,52.1877934,07
141,20.995873,2034,2024-01-25 13:14:35,52.187984,012
189,20.996376,2037,2024-01-25 10:40:35,52.18771,028
143,20.995277,2038,2024-01-25 09:28:27,52.187561,09
217,21.050676,2039,2024-01-25 13:14:23,52.150418,5
174,21.010357,2040,2024-01-25 13:14:32,52.203083,5
401,20.9966944,2041,2024-01-25 09:37:46,52.1876674,014
E-2,20.99733,2045,2024-01-25 10:22:18,52.187773,08
719,20.6837174,2200,2024-01-25 13:14:32,52.2608554,3
148,20.922648,2201,2024-01-25 12:15:54,52.195354,011
105,20.900666,2204,2024-01-25 13:14:19,52.239206,3
177,20.901001,2206,2024-01-25 13:14:35,52.239231,2
ZA1,20.920649,2207,2024-01-25 11:39:43,52.197016,03
401,20.890717,2209,2024-01-25 13:14:27,52.193745,3
177,20.901443,2210,2024-01-25 13:14:34,52.227867,3
136,20.92169,2211,2024-01-25 13:14:25,52.196313,015
136,20.9604232,2214,2024-01-25 13:14:36,52.2158712,015
105,20.922155,2215,2024-01-25 12:28:56,52.196206,770
136,20.9653357,2216,2024-01-25 13:14:36,52.2479362,11
401,20.9230275,2217,2024-01-25 13:14:36,52.1974915,4
401,20.921918,2218,2024-01-25 10:46:21,52.196096,013
716,20.913908,2220,2024-01-25 13:14:36,52.219604,61
188,20.986347,2221,2024-01-25 13:14:22,52.204861,6
105,20.921596,2222,2024-01-25 11:01:31,52.196346,08
719,20.913906,2223,2024-01-25 13:14:34,52.237328,5
ZA1,20.92032,2224,2024-01-25 11:46:44,52.196433,01
517,20.919938,2225,2024-01-25 12:53:00,52.197478,011
177,20.868629,2226,2024-01-25 13:14:36,52.192307,4
105,20.943417,2228,2024-01-25 13:14:35,52.226139,7
719,20.922336,2229,2024-01-25 09:02:07,52.196218,011
184,20.964046,2231,2024-01-25 13:14:35,52.208054,7
191,20.920204,2233,2024-01-25 13:14:35,52.204754,5
171,20.9809904,2234,2024-01-25 13:14:35,52.2371675,6
523,20.920069,2235,2024-01-25 10:38:58,52.196533,020
401,21.0031229,2236,2024-01-25 13:14:33,52.1782352,5
188,21.0701157,2237,2024-01-25 13:14:36,52.2307189,3
187,20.9794319,2240,2024-01-25 13:14:36,52.2169984,5
401,21.0369985,2241,2024-01-25 13:14:36,52.1542227,7
136,21.0529817,2242,2024-01-25 13:14:35,52.1460846,4
184,20.9484841,2243,2024-01-25 13:14:35,52.2385554,1
517,20.862913,2244,2024-01-25 13:14:35,52.195175,10
706,20.921109,2246,2024-01-25 12:29:32,52.196461,03
191,20.922281,2247,2024-01-25 10:13:58,52.196173,010
517,20.92097,2248,2024-01-25 11:53:12,52.196469,015
517,20.958521,2249,2024-01-25 13:14:35,52.215523,7
401,20.866997,2250,2024-01-25 13:14:36,52.193626,2
517,21.041994,2251,2024-01-25 13:14:35,52.226013,5
713,20.922118,2253,2024-01-25 10:20:52,52.196036,04
187,21.029406,2255,2024-01-25 13:14:35,52.220291,10
517,20.896605,2256,2024-01-25 13:14:34,52.195904,8
401,20.921461,2257,2024-01-25 10:32:08,52.196381,010
716,20.883806,2259,2024-01-25 13:14:33,52.2164,62
L20,21.258118,25181,2024-01-25 09:37:32,52.1089371,03
L51,21.2438366,25182,2024-01-25 09:57:03,52.0829903,02
L20,21.4637046,25183,2024-01-25 13:14:33,52.1329825,1
L22,21.2924771,25184,2024-01-25 13:14:36,52.1740629,2
L22,21.2805401,25185,2024-01-25 13:14:33,52.1186105,1
L20,21.2953268,25186,2024-01-25 13:14:36,52.1018646,2
L51,21.237375,25188,2024-01-25 13:14:35,52.0977101,1
L22,21.2497775,25189,2024-01-25 09:09:15,52.0845433,03
245,21.0953,3400,2024-01-25 13:14:23,52.286166,3
120,21.036584,3401,2024-01-25 13:14:20,52.255456,3
738,21.1959768,3402,2024-01-25 13:14:36,52.4034488,1
509,21.04802,3403,2024-01-25 13:14:37,52.2645046,011
Z26,20.9302031,3404,2024-01-25 13:14:34,52.2249673,2
738,21.0529128,3405,2024-01-25 13:14:34,52.2764901,3
120,21.0489385,3406,2024-01-25 13:14:34,52.2924058,4
511,20.967916,3407,2024-01-25 11:50:23,52.2701745,08
120,21.0471205,3410,2024-01-25 09:10:19,52.2646986,09
735,21.0115975,3411,2024-01-25 13:14:31,52.4539081,65
120,21.0511105,3412,2024-01-25 13:14:32,52.2526676,2
500,21.0457333,3413,2024-01-25 13:14:31,52.2651791,06
140,21.046465,3415,2024-01-25 09:04:41,52.265026,04
735,20.977531,3416,2024-01-25 13:14:34,52.2790328,62
Z26,20.9516373,3417,2024-01-25 13:14:34,52.2298211,3
