Lines,Lon,VehicleNumber,Time,Lat,Brigade
727,21.0229367,2016,2024-01-30 15:51:00,52.1801804,04
710,21.114185,2017,2024-01-30 15:50:57,52.082249,09
522,21.0129997,2018,2024-01-30 15:51:00,52.2272572,5
519,21.099857,2019,2024-01-30 15:50:57,52.13467,2
709,21.017757,2021,2024-01-30 15:50:59,52.15168,012
504,21.031282,2022,2024-01-30 15:50:59,52.149815,5
189,21.032549,2023,2024-01-30 15:50:59,52.17347,9
189,20.9259906,2024,2024-01-30 15:50:59,52.196132,12
709,21.017885,2025,2024-01-30 15:51:00,52.143185,8
141,21.038046,2026,2024-01-30 15:51:00,52.206776,012
709,21.023281,2027,2024-01-30 15:50:59,52.081036,2
739,20.9972641,2028,2024-01-30 11:59:18,52.1876377,011
162,21.03096,2029,2024-01-30 15:51:00,52.240139,015
401,20.995186,2030,2024-01-30 15:51:00,52.179573,1
401,20.9267719,2031,2024-01-30 15:50:57,52.1961612,021
189,21.057358,2032,2024-01-30 15:50:52,52.182771,5
138,21.081284,2033,2024-01-30 15:50:57,52.260166,010
189,20.925926,2034,2024-01-30 15:50:55,52.196255,027
504,20.979265,2036,2024-01-30 15:50:56,52.185528,6
522,21.043612,2037,2024-01-30 15:50:59,52.19305,7
401,20.995433,2038,2024-01-30 15:50:59,52.1797296,6
138,20.996603,2039,2024-01-30 15:50:53,52.169874,5
519,21.033295,2040,2024-01-30 15:51:00,52.203907,4
504,21.005123,2041,2024-01-30 15:50:57,52.171799,2
525,21.196582,2044,2024-01-30 15:51:00,52.2082754,1
E-2,21.023964,2045,2024-01-30 15:50:57,52.224068,06
105,20.9513212,2200,2024-01-30 15:50:58,52.2284492,6
177,20.868549,2201,2024-01-30 15:50:58,52.192295,2
105,20.896975,2202,2024-01-30 15:50:57,52.226158,010
136,20.992798,2203,2024-01-30 15:50:59,52.187851,015
317,20.979496,2204,2024-01-30 15:50:45,52.179214,06
171,21.031523,2205,2024-01-30 15:50:58,52.229187,453
171,20.923779,2206,2024-01-30 15:51:00,52.240295,6
401,21.019281,2207,2024-01-30 15:50:55,52.17334,012
401,21.026037,2208,2024-01-30 15:50:56,52.17334,025
105,20.896406,2209,2024-01-30 15:50:57,52.217075,012
105,20.942328,2210,2024-01-30 15:50:59,52.225933,2
105,20.9522402,2211,2024-01-30 15:50:59,52.2274802,09
148,21.048851,2212,2024-01-30 15:50:44,52.194223,012
187,20.85997,2214,2024-01-30 15:50:56,52.193161,12
172,21.038418,2215,2024-01-30 15:50:56,52.198139,010
188,21.0271684,2216,2024-01-30 15:50:59,52.2197245,6
719,20.885527,2217,2024-01-30 15:50:58,52.240314,1
177,20.913614,2218,2024-01-30 15:50:57,52.23716,4
716,20.873266,2220,2024-01-30 15:51:00,52.198769,61
ZA1,20.920386,2221,2024-01-30 14:36:25,52.196616,02
177,20.921209,2222,2024-01-30 15:06:36,52.197298,08
719,20.782694,2223,2024-01-30 15:50:58,52.255508,4
191,20.920428,2224,2024-01-30 15:03:34,52.197486,010
136,20.96524,2225,2024-01-30 15:50:59,52.247696,9
177,20.896629,2226,2024-01-30 15:50:59,52.236828,08
188,20.982645,2228,2024-01-30 15:50:54,52.195564,013
401,20.8620534,2229,2024-01-30 15:51:00,52.1903076,4
523,21.084042,2230,2024-01-30 15:50:56,52.247093,11
136,21.0260684,2231,2024-01-30 15:50:59,52.1559816,5
171,21.01038,2232,2024-01-30 15:50:59,52.231865,5
401,21.0158142,2233,2024-01-30 15:50:58,52.1739912,026
191,20.921696,2234,2024-01-30 15:50:55,52.204395,08
182,21.083954,2235,2024-01-30 15:50:59,52.236027,8
177,20.900875,2236,2024-01-30 15:50:58,52.239155,675
719,20.699769,2237,2024-01-30 15:51:00,52.2594054,2
719,20.911489,2240,2024-01-30 15:50:58,52.23914,5
105,20.896769,2241,2024-01-30 15:50:57,52.238911,011
184,20.9700354,2242,2024-01-30 15:51:00,52.2191854,1
105,20.896765,2243,2024-01-30 15:50:58,52.230289,3
523,20.9146289,2244,2024-01-30 15:51:00,52.2393392,5
401,20.9194562,2246,2024-01-30 15:50:59,52.1983269,5
ZA1,20.94772,2247,2024-01-30 15:50:59,52.208778,04
177,20.897326,2248,2024-01-30 15:50:50,52.224537,6
177,20.895912,2249,2024-01-30 15:51:00,52.202541,1
184,20.937046,2250,2024-01-30 15:50:59,52.246845,010
401,21.043692,2251,2024-01-30 15:50:57,52.156219,011
401,20.909409,2252,2024-01-30 15:50:57,52.193882,016
703,20.881454,2253,2024-01-30 15:51:00,52.129025,512
401,20.963924,2254,2024-01-30 15:50:57,52.1884367,023
401,20.8928494,2255,2024-01-30 15:51:00,52.1927434,013
ZA1,20.921481,2256,2024-01-30 11:10:31,52.196343,01
317,21.011637,2257,2024-01-30 15:50:59,52.174473,07
717,20.967754,2258,2024-01-30 15:50:59,52.218983,64
187,21.064606,2259,2024-01-30 15:50:57,52.186241,5
L50,21.3598443,25181,2024-01-30 15:50:56,52.1910855,1
L22,21.2630261,25184,2024-01-30 15:50:57,52.1077453,2
L20,21.2813791,25186,2024-01-30 15:50:56,52.0991446,2
L20,21.309186,25187,2024-01-30 15:50:58,52.1110051,03
L51,21.2645485,25188,2024-01-30 15:50:56,52.1066785,02
L22,21.333339,25189,2024-01-30 15:45:28,52.1361528,03
245,21.049835,3400,2024-01-30 15:50:41,52.29198,05
140,21.073911,3401,2024-01-30 15:50:40,52.285356,1
738,21.1360095,3402,2024-01-30 15:50:59,52.3606478,2
190,20.9575406,3403,2024-01-30 15:50:56,52.2377431,2
Z26,21.0459973,3404,2024-01-30 15:50:56,52.2649161,3
145,21.1291741,3405,2024-01-30 15:50:58,52.251525,6
145,21.0855533,3406,2024-01-30 15:50:54,52.2446353,8
511,20.951055,3409,2024-01-30 15:50:52,52.343933,4
120,21.0525445,3410,2024-01-30 15:50:57,52.2762308,8
705,21.016725,3411,2024-01-30 15:50:56,52.31797,1
140,21.1012625,3412,2024-01-30 15:50:59,52.3183681,3
145,21.0988516,3413,2024-01-30 15:50:54,52.2860583,4
520,21.133845,3414,2024-01-30 15:50:57,52.24029,2
140,21.102325,3415,2024-01-30 15:50:42,52.319931,04
160,21.0533781,3416,2024-01-30 15:50:58,52.2766038,56
245,21.1313763,3417,2024-01-30 15:50:59,52.2805243,4
512,21.0544006,3418,2024-01-30 15:50:57,52.254257,3
112,20.9405018,3421,2024-01-30 15:50:58,52.277863,7
132,20.9681433,3423,2024-01-30 15:50:57,52.27187,3
132,21.0564568,3424,2024-01-30 15:50:55,52.3055611,2
731,20.93506,3425,2024-01-30 15:50:49,52.392691,499
735,21.0116159,3426,2024-01-30 15:50:55,52.453875,66
245,21.0416938,3428,2024-01-30 15:51:00,52.3004588,2
738,21.1866211,3429,2024-01-30 15:50:56,52.4151475,06
190,21.0634028,3430,2024-01-30 15:50:57,52.2722378,11
190,21.0656116,3431,2024-01-30 15:50:58,52.2749355,12
190,20.9776128,3432,2024-01-30 15:50:59,52.238189,8
245,21.0966265,3433,2024-01-30 15:50:59,52.2861486,3
500,21.041683,3434,2024-01-30 15:50:58,52.300285,2
738,21.0721661,3435,2024-01-30 15:50:55,52.2832035,4
162,21.0304381,3437,2024-01-30 15:50:59,52.234268,3
132,21.0113518,3438,2024-01-30 15:50:52,52.2933621,4
509,21.0474491,3439,2024-01-30 15:50:55,52.2472853,1
162,21.064073,3440,2024-01-30 15:51:00,52.1923623,1
240,21.1101065,3441,2024-01-30 15:50:56,52.32897,3
